bairro,tipo_imovel,area_construida,area_terreno,quartos,banheiros,preco
Chácaras Reunidas Igarapés,Terreno,0,244,0,0,99308
Jardim Santa Maria,Apartamento,42,0,3,3,108570
Chácaras Reunidas Igarapés,Terreno,0,210,0,0,112560
Jardim Santa Maria,Apartamento,46,0,2,3,115966
Jardim Santa Maria,Terreno,0,269,0,0,118629
Centro,Casa,70,577,3,2,146027
Chácaras Reunidas Igarapés,Apartamento,52,0,2,2,149552
Chácaras Reunidas Igarapés,Casa,76,638,3,4,150784
Chácaras Reunidas Igarapés,Apartamento,57,0,2,2,151392
Chácaras Reunidas Igarapés,Apartamento,43,0,1,2,151919
Chácaras Reunidas Igarapés,Casa,77,308,3,3,152537
Jardim Santa Maria,Casa,79,176,3,2,152944
Centro,Terreno,0,220,0,0,153065
Centro,Apartamento,51,0,2,3,153604
Centro,Apartamento,43,0,3,2,153740
Jardim Santa Maria,Casa,76,205,3,2,155572
Chácaras Reunidas Igarapés,Casa,85,210,6,3,158015
Chácaras Reunidas Igarapés,Terreno,0,402,0,0,159594
Chácaras Reunidas Igarapés,Apartamento,45,0,4,2,161730
Chácaras Reunidas Igarapés,Casa,84,730,3,4,163212
Chácaras Reunidas Igarapés,Terreno,0,225,0,0,166725
Centro,Apartamento,50,0,3,1,166865
Centro,Terreno,0,244,0,0,167798
Jardim Santa Maria,Apartamento,47,0,3,2,169012
Chácaras Reunidas Igarapés,Apartamento,65,0,4,2,170625
Centro,Apartamento,48,0,1,3,171616
Jardim Santa Maria,Casa,70,693,5,2,172410
Jardim Santa Maria,Terreno,0,267,0,0,172482
Jardim Santa Maria,Apartamento,47,0,3,2,173007
Centro,Terreno,0,257,0,0,174374
Chácaras Reunidas Igarapés,Apartamento,42,0,3,3,177912
Chácaras Reunidas Igarapés,Apartamento,63,0,3,2,179802
Centro,Apartamento,51,0,2,1,184219
Centro,Apartamento,43,0,2,2,184992
Chácaras Reunidas Igarapés,Apartamento,54,0,4,2,185760
Chácaras Reunidas Igarapés,Apartamento,48,0,3,2,186000
Jardim Santa Maria,Apartamento,42,0,2,2,189000
Jardim Santa Maria,Casa,85,359,3,2,189635
Chácaras Reunidas Igarapés,Apartamento,51,0,3,2,192015
Centro,Casa,86,419,2,2,192756
Chácaras Reunidas Igarapés,Terreno,0,510,0,0,193800
Chácaras Reunidas Igarapés,Casa,82,284,3,2,195324
Centro,Casa,93,267,3,2,196146
Chácaras Reunidas Igarapés,Casa,94,707,2,2,202852
Chácaras Reunidas Igarapés,Casa,100,174,4,2,203100
Centro,Apartamento,46,0,2,2,204246
Chácaras Reunidas Igarapés,Casa,113,571,3,2,205773
Chácaras Reunidas Igarapés,Apartamento,52,0,2,3,208780
Centro,Terreno,0,283,0,0,210891
Centro,Terreno,0,297,0,0,211419
Chácaras Reunidas Igarapés,Casa,88,340,2,1,211992
Jardim Santa Maria,Apartamento,63,0,3,3,213570
Chácaras Reunidas Igarapés,Casa,101,619,3,4,214524
Jardim Santa Maria,Casa,98,152,3,3,214620
Jardim Santa Maria,Casa,98,726,2,2,215894
Centro,Casa,74,385,5,2,216664
Jardim Santa Maria,Casa,87,384,3,2,216978
