bairro,tipo_imovel,area_construida,area_terreno,quartos,banheiros,preco
Vila Toninho,Terreno,0,166,0,0,45000
Vila Nossa Senhora Aparecida,Terreno,0,177,0,0,45000
Jardim Bela Vista,Terreno,0,156,0,0,45000
Jardim Silvia,Terreno,0,204,0,0,45000
Jardim Primavera,Terreno,0,170,0,0,46053
Jardim Nova Esperança,Terreno,0,197,0,0,47122
Chácaras Reunidas Igarapés,Terreno,0,231,0,0,47124
Vila Garcia,Terreno,0,154,0,0,47385
Parque Meia Lua,Terreno,0,176,0,0,48153
Vila Formosa,Terreno,0,166,0,0,48206
Jardim das Indústrias,Terreno,0,178,0,0,48327
Jardim Nova Esperança,Terreno,0,218,0,0,48603
Jardim Panorama,Terreno,0,240,0,0,49248
Jardim Novo Horizonte,Apartamento,25,0,1,1,49555
Parque Meia Lua,Terreno,0,170,0,0,51680
Jardim Silvia,Terreno,0,227,0,0,51937
Parque Meia Lua,Terreno,0,194,0,0,51992
Vila Zilda,Terreno,0,193,0,0,53152
Vila Elvira,Terreno,0,207,0,0,53737
Jardim Panorama,Terreno,0,173,0,0,53768
Vila Zezinho,Terreno,0,211,0,0,54205
Vila Toninho,Apartamento,31,0,1,1,55056
Parque Residencial Flamboyant,Terreno,0,205,0,0,55657
Parque Residencial Flamboyant,Terreno,0,194,0,0,55872
Vila Zilda,Terreno,0,188,0,0,57189
Vila São Jorge,Terreno,0,198,0,0,57618
Vila Garcia,Terreno,0,181,0,0,57693
Jardim Novo Horizonte,Apartamento,27,0,1,1,57870
Vila Nossa Senhora Aparecida,Terreno,0,244,0,0,58194
Vila Toninho,Apartamento,31,0,1,1,59380
Vila Elvira,Terreno,0,238,0,0,59428
Jardim Bela Vista,Terreno,0,239,0,0,59690
Vila Nossa Senhora Aparecida,Terreno,0,252,0,0,61425
Jardim Flórida,Terreno,0,276,0,0,62514
Vila Formosa,Terreno,0,231,0,0,62762
Jardim Bela Vista,Terreno,0,189,0,0,63078
Jardim Bela Vista,Terreno,0,237,0,0,63279
Jardim Nova Esperança,Terreno,0,255,0,0,63316
Jardim das Indústrias,Terreno,0,244,0,0,63684
Jardim das Indústrias,Terreno,0,320,0,0,64320
Vila Zezinho,Apartamento,26,0,1,1,64646
Vila São Jorge,Terreno,0,202,0,0,64842
Jardim Bela Vista,Terreno,0,244,0,0,65148
Vila São Paulo,Terreno,0,200,0,0,65910
Parque Meia Lua,Terreno,0,223,0,0,66721
Parque Meia Lua,Terreno,0,213,0,0,67308
Chácaras Reunidas Igarapés,Terreno,0,317,0,0,67521
Vila Santa Isabel,Terreno,0,215,0,0,67725
Jardim Paraíba,Terreno,0,198,0,0,68310
Jardim das Indústrias,Terreno,0,201,0,0,68591
Vila Industrial,Terreno,0,219,0,0,68678
Jardim Alvorada,Apartamento,26,0,1,1,68850
Jardim Flórida,Terreno,0,252,0,0,69741
Jardim Santa Maria,Terreno,0,197,0,0,70920
Parque Residencial Flamboyant,Terreno,0,225,0,0,71887
Jardim Bela Vista,Apartamento,25,0,1,1,72562
Vila São Jorge,Terreno,0,229,0,0,72993
Vila Garcia,Terreno,0,238,0,0,73030
Parque Novo Mundo,Terreno,0,220,0,0,73920
Parque Meia Lua,Terreno,0,232,0,0,74054
Jardim das Indústrias,Terreno,0,205,0,0,74261
Parque Novo Mundo,Terreno,0,300,0,0,74520
Jardim das Indústrias,Terreno,0,214,0,0,75114
Parque Meia Lua,Terreno,0,192,0,0,75417
Vila Toninho,Casa,44,132,1,1,75812
Parque Meia Lua,Terreno,0,168,0,0,75936
Vila Nossa Senhora Aparecida,Terreno,0,208,0,0,76128
Vila Industrial,Terreno,0,218,0,0,76736
Jardim São José,Terreno,0,232,0,0,77256
Jardim Silvia,Apartamento,39,0,1,1,77391
Vila Zezinho,Terreno,0,246,0,0,78006
Jardim Bela Vista,Terreno,0,213,0,0,78117
Vila Nossa Senhora Aparecida,Apartamento,27,0,1,1,78124
Vila Toninho,Casa,40,116,1,1,78430
Vila Machado,Terreno,0,241,0,0,78517
Vila Elvira,Apartamento,30,0,1,1,79134
Vila Nossa Senhora Aparecida,Terreno,0,369,0,0,79150
Jardim Bela Vista,Terreno,0,212,0,0,79500
Vila Machado,Terreno,0,236,0,0,80074
Vila São Jorge,Terreno,0,301,0,0,80141
Jardim Bela Vista,Terreno,0,371,0,0,80692
Cidade Salvador,Terreno,0,205,0,0,80821
Parque Residencial Flamboyant,Apartamento,26,0,1,1,81120
Vila Nossa Senhora Aparecida,Apartamento,27,0,1,1,81222
Jardim Bela Vista,Terreno,0,387,0,0,81270
Vila Industrial,Apartamento,27,0,1,1,81345
Vila Zilda,Terreno,0,455,0,0,81627
Vila Toninho,Casa,42,138,1,1,81657
Jardim Alvorada,Apartamento,27,0,1,1,81765
Jardim Santa Maria,Terreno,0,162,0,0,84240
Jardim Novo Horizonte,Apartamento,32,0,1,1,84462
Vila Machado,Apartamento,26,0,1,1,84661
Jardim das Indústrias,Apartamento,27,0,1,1,84766
Vila Garcia,Terreno,0,192,0,0,84864
Cidade Salvador,Terreno,0,209,0,0,84979
Jardim Panorama,Terreno,0,255,0,0,85068
Vila Zezinho,Terreno,0,412,0,0,85078
Jardim Flórida,Apartamento,26,0,1,1,85215
Jardim Novo Horizonte,Casa,41,137,1,1,85800
Vila Industrial,Apartamento,27,0,1,1,86011
Jardim São José,Terreno,0,175,0,0,86310
Chácaras Reunidas Igarapés,Casa,44,110,1,1,86684
Jardim São José,Terreno,0,293,0,0,87284
Vila Industrial,Terreno,0,238,0,0,87393
Jardim Primavera,Terreno,0,377,0,0,88218
Parque Residencial Flamboyant,Apartamento,33,0,1,1,88233
Jardim Flórida,Terreno,0,234,0,0,88276
Parque Novo Mundo,Terreno,0,491,0,0,88674
Vila Toninho,Apartamento,35,0,1,1,88707
Jardim das Indústrias,Terreno,0,452,0,0,89157
Jardim Silvia,Casa,42,124,1,1,89268
Jardim Bela Vista,Terreno,0,275,0,0,89925
Vila Nossa Senhora Aparecida,Apartamento,30,0,1,1,90382
Vila Garcia,Apartamento,25,0,1,1,90695
Chácaras Reunidas Igarapés,Apartamento,40,0,1,1,90720
Vila São Jorge,Terreno,0,314,0,0,90903
Jardim Paraíba,Terreno,0,317,0,0,90979
Jardim Silvia,Casa,42,115,1,1,91547
Jardim São José,Terreno,0,213,0,0,91632
Jardim Bela Vista,Terreno,0,211,0,0,91785
Parque Meia Lua,Apartamento,29,0,1,1,91848
Jardim das Indústrias,Apartamento,25,0,1,1,92175
Vila Industrial,Terreno,0,286,0,0,92435
Parque Residencial Flamboyant,Apartamento,29,0,1,1,92633
Vila Nossa Senhora Aparecida,Terreno,0,273,0,0,93161
Jardim das Indústrias,Terreno,0,272,0,0,93228
Parque Meia Lua,Apartamento,31,0,1,1,93297
Vila Zilda,Apartamento,29,0,1,1,93455
Cidade Salvador,Terreno,0,188,0,0,93586
Vila São Paulo,Casa,40,127,1,1,93900
Vila Elvira,Casa,44,143,1,1,94174
Vila Machado,Terreno,0,245,0,0,94374
Jardim Panorama,Terreno,0,329,0,0,94554
Vila Machado,Terreno,0,277,0,0,95232
Jardim Novo Horizonte,Apartamento,32,0,1,1,95304
Parque Residencial Flamboyant,Terreno,0,267,0,0,95319
Vila Santa Isabel,Apartamento,25,0,1,1,95427
Vila Elvira,Casa,54,175,1,1,95623
Parque Novo Mundo,Casa,50,143,1,1,95937
Vila Machado,Apartamento,28,0,1,1,95986
Jardim Panorama,Apartamento,32,0,1,1,96019
Vila Toninho,Casa,50,191,1,1,96087
Jardim das Indústrias,Apartamento,32,0,1,1,96864
Parque Meia Lua,Apartamento,25,0,1,1,97120
Jardim Novo Horizonte,Casa,40,121,1,1,98231
Jardim Primavera,Apartamento,28,0,1,1,98784
Vila Zilda,Apartamento,44,0,1,1,98788
Parque Meia Lua,Casa,40,116,1,1,98924
Vila Nossa Senhora Aparecida,Apartamento,27,0,1,1,99002
Vila Toninho,Casa,51,180,1,1,99583
Vila Nossa Senhora Aparecida,Apartamento,28,0,1,1,99624
Jardim das Indústrias,Apartamento,35,0,1,1,99671
Vila Zezinho,Apartamento,27,0,1,1,99999
Chácaras Reunidas Igarapés,Apartamento,35,0,1,1,100065
Vila Garcia,Terreno,0,418,0,0,100194
Cidade Salvador,Terreno,0,222,0,0,100388
Jardim Primavera,Terreno,0,223,0,0,100550
Jardim São José,Terreno,0,223,0,0,100751
Jardim Bela Vista,Terreno,0,495,0,0,101351
Jardim das Indústrias,Apartamento,27,0,1,1,101371
Vila Industrial,Apartamento,31,0,1,1,101853
Jardim Flórida,Apartamento,28,0,1,1,102081
Parque Novo Mundo,Casa,43,109,1,1,102907
Vila Formosa,Apartamento,46,0,1,1,103122
Jardim das Indústrias,Apartamento,33,0,1,1,103133
Jardim Nova Esperança,Terreno,0,279,0,0,104276
Vila Nossa Senhora Aparecida,Terreno,0,409,0,0,104601
Jardim Flórida,Apartamento,33,0,1,1,104791
Vila Machado,Terreno,0,295,0,0,104872
Vila Toninho,Terreno,0,508,0,0,104902
Vila Industrial,Terreno,0,289,0,0,104964
Vila Zilda,Casa,46,179,1,1,105359
Vila Zilda,Apartamento,46,0,1,1,105597
Jardim Bela Vista,Terreno,0,349,0,0,106008
Jardim Flórida,Terreno,0,272,0,0,106080
Chácaras Reunidas Igarapés,Apartamento,42,0,1,1,106167
Jardim das Oliveiras,Terreno,0,199,0,0,106813
Jardim Flórida,Apartamento,31,0,1,1,106996
Vila Garcia,Terreno,0,468,0,0,107008
Jardim das Indústrias,Casa,42,134,1,1,107040
Vila Industrial,Terreno,0,253,0,0,107069
Vila Formosa,Apartamento,37,0,1,1,107163
Parque Residencial Flamboyant,Terreno,0,247,0,0,107259
