bairro,tipo_imovel,area_construida,area_terreno,quartos,banheiros,preco
Chácaras Reunidas Igarapés,Terreno,0,164,0,0,50000
Vila Zilda,Terreno,0,198,0,0,50000
Chácaras Reunidas Igarapés,Terreno,0,201,0,0,50561
Vila São Jorge,Terreno,0,211,0,0,58489
Vila Zilda,Terreno,0,294,0,0,59623
Jardim Paraíba,Terreno,0,222,0,0,66156
Vila Nossa Senhora Aparecida,Terreno,0,172,0,0,74716
Vila Santa Isabel,Terreno,0,296,0,0,75420
Chácaras Reunidas Igarapés,Apartamento,38,0,1,1,76248
Jardim São José,Terreno,0,156,0,0,79138
Jardim Novo Horizonte,Casa,48,100,1,1,80304
Jardim Nova Esperança,Terreno,0,276,0,0,87133
Jardim Nova Esperança,Terreno,0,152,0,0,87992
Jardim Novo Horizonte,Apartamento,53,0,3,2,89644
Vila Zilda,Apartamento,46,0,2,2,89759
Vila Elvira,Apartamento,41,0,1,1,90036
Vila Zezinho,Terreno,0,357,0,0,91106
Vila Zilda,Casa,47,100,1,1,92038
Jardim Flórida,Terreno,0,186,0,0,97705
Vila Machado,Apartamento,37,0,2,2,98268
Vila Nossa Senhora Aparecida,Apartamento,35,0,2,1,98756
Jardim das Oliveiras,Terreno,0,174,0,0,100502
Jardim Primavera,Apartamento,39,0,1,1,104555
Jardim Novo Horizonte,Terreno,0,212,0,0,104812
Vila São Jorge,Apartamento,37,0,2,2,104861
Jardim América,Terreno,0,245,0,0,107910
Chácaras Reunidas Igarapés,Terreno,0,407,0,0,108465
Vila Formosa,Apartamento,35,0,1,1,109768
Jardim das Oliveiras,Apartamento,36,0,1,1,110260
Vila Elvira,Apartamento,36,0,2,2,111283
Chácaras Reunidas Igarapés,Apartamento,35,0,1,1,113090
Vila Elvira,Casa,50,168,1,1,117336
Jardim das Indústrias,Terreno,0,484,0,0,117612
Jardim Novo Horizonte,Apartamento,49,0,1,1,118276
Jardim Primavera,Apartamento,41,0,1,1,119303
Jardim Novo Horizonte,Casa,49,150,1,1,120884
Vila Zezinho,Terreno,0,472,0,0,122342
Vila Formosa,Casa,51,100,3,2,122796
Jardim Novo Horizonte,Apartamento,69,0,3,2,124821
Vila São Jorge,Apartamento,38,0,2,2,124898
Vila Nossa Senhora Aparecida,Terreno,0,169,0,0,125060
Jardim América,Terreno,0,254,0,0,128231
Chácaras Reunidas Igarapés,Apartamento,51,0,2,2,128887
Jardim Novo Horizonte,Casa,69,106,2,2,130025
Vila Garcia,Apartamento,46,0,2,2,131219
Jardim São José,Terreno,0,302,0,0,131974
Cidade Salvador,Terreno,0,172,0,0,132354
Jardim Primavera,Apartamento,45,0,1,1,133209
Chácaras Reunidas Igarapés,Apartamento,36,0,1,1,134035
Vila Elvira,Terreno,0,779,0,0,134611
Chácaras Reunidas Igarapés,Casa,52,117,3,2,134954
Chácaras Reunidas Igarapés,Apartamento,65,0,2,2,136256
Jardim Nova Esperança,Casa,60,112,2,1,138303
Jardim do Lago,Terreno,0,364,0,0,139557
Parque Residencial Flamboyant,Apartamento,53,0,2,2,142124
Vila Machado,Apartamento,39,0,1,1,143067
Chácaras Reunidas Igarapés,Apartamento,39,0,1,1,143379
Jardim Novo Horizonte,Apartamento,80,0,2,1,143952
Jardim Paraíba,Terreno,0,257,0,0,144691
Jardim das Indústrias,Terreno,0,505,0,0,145440
Vila Industrial,Apartamento,56,0,2,2,146182
Jardim Califórnia,Apartamento,42,0,2,2,146315
Vila Nossa Senhora Aparecida,Apartamento,50,0,1,1,147560
Jardim Primavera,Casa,52,100,3,2,147565
Parque Meia Lua,Apartamento,38,0,2,1,147643
Vila Elvira,Casa,73,135,3,3,148363
Jardim Novo Horizonte,Terreno,0,213,0,0,148503
Jardim Flórida,Apartamento,55,0,3,3,149319
Vila Formosa,Casa,52,116,2,2,150168
Parque Meia Lua,Terreno,0,161,0,0,151492
Vila Elvira,Apartamento,49,0,2,1,152174
Jardim Panorama,Terreno,0,688,0,0,152185
Jardim das Indústrias,Apartamento,36,0,1,1,153279
Vila Elvira,Casa,69,114,2,1,153891
Jardim Alvorada,Apartamento,41,0,1,1,155144
Jardim Nova Esperança,Casa,56,144,2,2,156066
Vila Zilda,Apartamento,65,0,3,2,156071
Jardim Nova Esperança,Apartamento,74,0,2,1,158197
Jardim Novo Horizonte,Terreno,0,531,0,0,159300
Jardim Nova Esperança,Apartamento,56,0,2,2,160249
Vila Zezinho,Apartamento,61,0,2,1,160308
Vila Nossa Senhora Aparecida,Casa,45,100,1,1,160376
Parque dos Príncipes,Apartamento,36,0,2,1,160833
Vila Garcia,Terreno,0,744,0,0,161894
Jardim Novo Horizonte,Apartamento,51,0,2,1,161996
Chácaras Reunidas Igarapés,Casa,52,137,2,1,162953
Jardim São José,Apartamento,46,0,2,1,163044
Jardim Novo Horizonte,Terreno,0,557,0,0,163758
Jardim Nova Esperança,Apartamento,42,0,1,1,164404
Chácaras Reunidas Igarapés,Apartamento,50,0,2,2,165620
Jardim Novo Horizonte,Apartamento,69,0,2,2,166179
Vila Zezinho,Casa,47,136,2,1,166827
Vila Zilda,Apartamento,78,0,3,2,167310
Jardim Novo Horizonte,Terreno,0,765,0,0,167535
Jardim Panorama,Terreno,0,262,0,0,168728
Centro,Terreno,0,190,0,0,168862
Parque Residencial Flamboyant,Casa,55,120,2,2,169816
Jardim Santa Maria,Terreno,0,379,0,0,170171
Jardim das Indústrias,Apartamento,48,0,2,2,170208
Jardim Nova Esperança,Terreno,0,286,0,0,170370
Cidade Salvador,Terreno,0,265,0,0,170527
Jardim Alvorada,Apartamento,49,0,1,1,170676
Jardim Nova Esperança,Apartamento,58,0,2,2,171981
Vila Santa Isabel,Casa,58,183,2,1,172882
Vila Zilda,Apartamento,69,0,3,3,172986
Condomínio Portal de Jacareí,Terreno,0,204,0,0,173338
Vila Industrial,Casa,64,115,2,2,173494
Cidade Salvador,Apartamento,43,0,2,2,173763
Vila Nossa Senhora Aparecida,Apartamento,72,0,2,1,174297
Parque Imperial,Terreno,0,387,0,0,174962
Chácaras Reunidas Igarapés,Apartamento,73,0,2,1,179218
Jardim Panorama,Apartamento,77,0,2,1,179487
Jardim Califórnia,Casa,50,121,1,1,182518
Jardim das Oliveiras,Apartamento,40,0,1,1,182628
Vila Garcia,Casa,67,154,2,1,182765
Vila Formosa,Casa,55,100,2,1,183124
Vila Garcia,Apartamento,60,0,2,1,183243
Jardim das Indústrias,Casa,49,103,1,1,183576
Vila São Paulo,Terreno,0,446,0,0,184644
Jardim Panorama,Terreno,0,233,0,0,184955
Chácaras Reunidas Igarapés,Apartamento,48,0,2,2,187480
Jardim Panorama,Casa,51,149,2,2,187721
Vila Industrial,Apartamento,53,0,2,1,188298
Chácaras Reunidas Igarapés,Apartamento,97,0,3,2,188708
Vila Elvira,Casa,63,217,3,2,188777
Jardim Alvorada,Terreno,0,208,0,0,189363
Jardim Novo Horizonte,Casa,59,182,2,1,189541
Vila São Paulo,Casa,64,214,2,2,190092
Vila Garcia,Apartamento,35,0,1,1,190340
Vila São Jorge,Apartamento,59,0,3,3,191584
Vila Formosa,Terreno,0,526,0,0,191805
Chácaras Reunidas Igarapés,Apartamento,83,0,4,3,192008
Jardim Flórida,Casa,50,110,1,1,192074
Vila Industrial,Apartamento,46,0,1,1,192611
Parque Residencial Flamboyant,Apartamento,57,0,3,2,193070
Vila Zezinho,Apartamento,46,0,1,1,193200
Parque Residencial Flamboyant,Terreno,0,886,0,0,193502
Vila São Paulo,Apartamento,68,0,2,2,193953
Jardim Panorama,Terreno,0,365,0,0,194435
Jardim São José,Terreno,0,279,0,0,194546
Vila São Jorge,Terreno,0,582,0,0,194853
Jardim Alvorada,Casa,75,114,2,2,196161
Vila São Paulo,Casa,56,219,2,1,196189
Parque Residencial Flamboyant,Apartamento,70,0,2,1,196840
Residencial Villa Lobos,Terreno,0,257,0,0,197170
Vila Branca,Apartamento,50,0,1,1,197505
Jardim das Indústrias,Apartamento,42,0,1,1,197820
Chácaras Reunidas Igarapés,Apartamento,58,0,2,1,198490
Vila Zilda,Casa,63,155,2,2,198690
Vila Branca,Casa,56,138,2,2,198701
Vila Machado,Terreno,0,370,0,0,198801
Cidade Salvador,Casa,47,177,1,1,199093
Vila Industrial,Terreno,0,832,0,0,199680
Jardim São José,Apartamento,47,0,2,1,200165
Jardim Panorama,Terreno,0,963,0,0,200881
Jardim Nova Esperança,Terreno,0,282,0,0,201150
Jardim América,Apartamento,35,0,1,1,202054
Vila Formosa,Apartamento,100,0,3,3,202605
Jardim Panorama,Apartamento,94,0,4,2,202795
Vila São Paulo,Casa,50,117,1,1,203732
Jardim das Oliveiras,Apartamento,56,0,3,3,204394
Jardim Paraíba,Casa,50,139,1,1,204576
Vila Zilda,Casa,88,272,2,2,204843
Jardim Alvorada,Apartamento,44,0,1,1,205603
Jardim América,Apartamento,41,0,2,2,205904
Jardim Flórida,Apartamento,55,0,3,2,205933
Centro,Terreno,0,150,0,0,206812
Parque Residencial Flamboyant,Terreno,0,464,0,0,207129
Vila Elvira,Terreno,0,544,0,0,207590
Vila Garcia,Terreno,0,918,0,0,208340
Parque Meia Lua,Apartamento,71,0,3,3,208448
Jardim Santa Maria,Apartamento,42,0,1,1,208782
Jardim Flórida,Apartamento,75,0,3,3,211777
Cidade Salvador,Apartamento,74,0,2,1,212054
Jardim Santa Maria,Terreno,0,619,0,0,212317
Vila São Jorge,Apartamento,57,0,2,2,212843
Sunset Garden,Apartamento,40,0,1,1,212992
Jardim América,Apartamento,59,0,2,1,213048
Jardim América,Casa,54,141,2,2,213427
Vila Santa Isabel,Casa,65,165,2,1,213727
Vila Industrial,Casa,66,188,2,1,215220
Jardim Nova Esperança,Casa,77,298,2,1,215541
Residencial Villa Lobos,Terreno,0,156,0,0,215560
Vila São Jorge,Terreno,0,514,0,0,216496
Jardim Flórida,Apartamento,75,0,2,1,217068
Vila Machado,Apartamento,58,0,2,2,217360
Vila Industrial,Terreno,0,646,0,0,218089
Jardim São José,Terreno,0,374,0,0,218154
Jardim Nova Esperança,Apartamento,64,0,2,2,218265
Jardim Santa Maria,Apartamento,51,0,2,2,219147
Vila Garcia,Apartamento,66,0,2,2,219743
Jardim Flórida,Casa,59,199,2,1,219972
Vila São Jorge,Terreno,0,258,0,0,222215
Jardim das Oliveiras,Apartamento,57,0,2,2,222448
Vila Elvira,Apartamento,103,0,4,3,222727
Jardim Bela Vista,Casa,54,118,3,2,223129
Vila Santa Isabel,Casa,71,196,2,1,223235
Residencial Villa Lobos,Terreno,0,321,0,0,223351
Jardim Alvorada,Apartamento,51,0,2,1,223624
Jardim Flórida,Apartamento,66,0,2,1,224287
Vila São Paulo,Casa,71,215,2,1,225123
Vila São Paulo,Apartamento,106,0,3,2,226018
Jardim Nova Esperança,Apartamento,77,0,2,2,226380
Residencial Terras de São José,Apartamento,39,0,1,1,228501
Jardim Paraíba,Terreno,0,389,0,0,229121
Jardim das Oliveiras,Terreno,0,534,0,0,229806
Vila Industrial,Terreno,0,523,0,0,230538
Parque dos Príncipes,Terreno,0,207,0,0,231012
Vila São Paulo,Apartamento,77,0,3,3,231635
Jardim Santa Maria,Casa,61,119,3,2,231748
Vila Zezinho,Apartamento,56,0,2,2,231929
Vila São Paulo,Casa,96,170,3,2,232182
Vila Formosa,Casa,64,170,3,2,232735
Parque Meia Lua,Terreno,0,370,0,0,233044
Vila Santa Isabel,Apartamento,59,0,2,2,234625
Vila Formosa,Apartamento,108,0,3,2,234748
Jardim do Lago,Apartamento,41,0,1,1,234960
Vila Garcia,Apartamento,54,0,2,2,235008
Jardim São José,Casa,48,100,2,1,235284
Jardim das Indústrias,Casa,77,234,2,1,235407
Sunset Garden,Terreno,0,169,0,0,237140
Cidade Salvador,Terreno,0,259,0,0,237295
Vila São Paulo,Apartamento,70,0,2,1,238507
Jardim Panorama,Terreno,0,865,0,0,238566
Vila Nossa Senhora Aparecida,Terreno,0,973,0,0,238968
Vila São Paulo,Apartamento,108,0,3,2,239517
Jardim do Lago,Terreno,0,230,0,0,241569
Chácaras Reunidas Igarapés,Apartamento,77,0,3,2,241591
Clube de Campo,Apartamento,50,0,1,1,242032
Jardim Novo Horizonte,Casa,75,283,3,3,242187
Vila Machado,Apartamento,93,0,3,3,242395
Centro,Apartamento,38,0,2,2,242915
Jardim Primavera,Apartamento,67,0,2,2,243206
Vila Garcia,Casa,47,137,2,2,243629
Jardim das Indústrias,Apartamento,93,0,3,3,243985
Vila Branca,Casa,53,199,3,2,244154
Jardim Novo Horizonte,Apartamento,66,0,3,2,244252
Jardim São José,Apartamento,77,0,2,1,244613
Jardim Nova Esperança,Casa,92,165,3,3,244761
Vila Nossa Senhora Aparecida,Apartamento,68,0,2,2,245561
Residencial Terras de São José,Casa,60,100,2,1,246120
Vila Santa Isabel,Casa,63,131,2,1,246419
Jardim São José,Apartamento,69,0,3,2,246730
Jardim Alvorada,Apartamento,63,0,2,1,247111
Vila Formosa,Terreno,0,448,0,0,247228
Vila Zezinho,Casa,83,218,2,2,247388
Jardim das Oliveiras,Casa,70,157,2,1,247468
Vila Branca,Apartamento,38,0,2,1,247497
Jardim das Indústrias,Apartamento,60,0,3,2,247590
Vila Machado,Casa,77,199,2,2,247608
Vila Zilda,Casa,81,284,3,2,248339
Jardim Santa Maria,Apartamento,60,0,2,1,248520
Jardim do Lago,Casa,51,180,2,1,248544
Jardim América,Terreno,0,341,0,0,248623
Vila Zezinho,Casa,94,170,4,3,248987
Vila Zilda,Terreno,0,611,0,0,249410
Chácaras Reunidas Igarapés,Casa,105,347,3,3,249604
Vila Branca,Apartamento,42,0,2,1,251974
Jardim Paraíba,Apartamento,60,0,3,3,252600
Residencial Terras de São José,Terreno,0,177,0,0,253021
