bairro,tipo_imovel,area_construida,area_terreno,quartos,banheiros,preco
Jardim Alvorada,Terreno,0,179,0,0,45000
Jardim das Indústrias,Terreno,0,154,0,0,45000
Vila Industrial,Terreno,0,156,0,0,45000
Jardim Silvia,Terreno,0,150,0,0,45000
Jardim Novo Horizonte,Terreno,0,156,0,0,45000
Parque Meia Lua,Terreno,0,186,0,0,45000
Jardim Primavera,Terreno,0,150,0,0,45000
Vila Formosa,Terreno,0,151,0,0,45000
Vila Industrial,Terreno,0,159,0,0,45000
Vila Elvira,Terreno,0,238,0,0,45000
Vila Toninho,Terreno,0,158,0,0,45000
Jardim Silvia,Terreno,0,304,0,0,45000
Vila São Jorge,Terreno,0,168,0,0,45000
Vila Garcia,Terreno,0,156,0,0,45000
Vila Toninho,Terreno,0,150,0,0,45000
Vila Nossa Senhora Aparecida,Terreno,0,155,0,0,45000
Parque Residencial Flamboyant,Terreno,0,161,0,0,45000
Parque Meia Lua,Terreno,0,169,0,0,45000
Vila Nossa Senhora Aparecida,Terreno,0,154,0,0,45000
Vila Zezinho,Terreno,0,180,0,0,45000
Vila Nossa Senhora Aparecida,Terreno,0,160,0,0,45000
Vila Formosa,Terreno,0,181,0,0,45000
Vila Nossa Senhora Aparecida,Terreno,0,172,0,0,45000
Jardim Silvia,Terreno,0,262,0,0,45000
Vila Elvira,Terreno,0,165,0,0,45000
Vila Industrial,Terreno,0,173,0,0,45000
Cidade Salvador,Terreno,0,150,0,0,45030
Parque Meia Lua,Terreno,0,154,0,0,45460
Vila Industrial,Terreno,0,177,0,0,45736
Parque Meia Lua,Terreno,0,178,0,0,45995
Jardim Nova Esperança,Terreno,0,215,0,0,46397
Jardim das Oliveiras,Terreno,0,160,0,0,46512
Vila Toninho,Terreno,0,180,0,0,46800
Jardim Silvia,Terreno,0,279,0,0,47109
Vila Zezinho,Terreno,0,198,0,0,47262
Jardim Panorama,Terreno,0,225,0,0,47520
Vila Santa Isabel,Terreno,0,157,0,0,48246
Jardim Primavera,Terreno,0,154,0,0,48787
Jardim Novo Horizonte,Terreno,0,249,0,0,49575
Chácaras Reunidas Igarapés,Terreno,0,242,0,0,49658
Parque Novo Mundo,Terreno,0,197,0,0,49762
Jardim Alvorada,Terreno,0,170,0,0,49835
Jardim Novo Horizonte,Terreno,0,178,0,0,49929
Jardim Silvia,Terreno,0,191,0,0,50949
Vila Industrial,Terreno,0,190,0,0,51072
Vila Elvira,Terreno,0,262,0,0,51155
Parque Residencial Flamboyant,Terreno,0,157,0,0,51221
Vila Industrial,Terreno,0,154,0,0,51251
Jardim Flórida,Terreno,0,201,0,0,51556
Jardim Flórida,Terreno,0,178,0,0,52065
Parque Novo Mundo,Terreno,0,171,0,0,52223
Parque Meia Lua,Terreno,0,209,0,0,52333
Vila Nossa Senhora Aparecida,Terreno,0,211,0,0,52380
Vila Nossa Senhora Aparecida,Terreno,0,200,0,0,52500
Parque Novo Mundo,Terreno,0,241,0,0,53212
Vila Zezinho,Terreno,0,171,0,0,53266
Vila Zilda,Terreno,0,151,0,0,53272
Jardim Novo Horizonte,Terreno,0,290,0,0,53273
Vila Formosa,Terreno,0,207,0,0,53395
Vila Garcia,Terreno,0,209,0,0,53650
Jardim Panorama,Terreno,0,254,0,0,53797
Parque Residencial Flamboyant,Terreno,0,156,0,0,53820
Vila São Jorge,Terreno,0,237,0,0,53858
Parque Residencial Flamboyant,Terreno,0,157,0,0,53929
Vila São Paulo,Terreno,0,189,0,0,54176
Jardim das Oliveiras,Terreno,0,164,0,0,54218
Jardim Primavera,Terreno,0,195,0,0,54229
Jardim Bela Vista,Terreno,0,216,0,0,54594
Jardim Paraíba,Terreno,0,153,0,0,54774
Vila Garcia,Terreno,0,174,0,0,55018
Jardim Paraíba,Terreno,0,164,0,0,55268
Jardim Flórida,Terreno,0,206,0,0,55311
Jardim Novo Horizonte,Terreno,0,289,0,0,55314
Jardim Silvia,Terreno,0,181,0,0,55349
Jardim Silvia,Terreno,0,179,0,0,55525
Vila Toninho,Terreno,0,443,0,0,55596
Vila Nossa Senhora Aparecida,Terreno,0,160,0,0,55800
Jardim Novo Horizonte,Terreno,0,303,0,0,55994
Vila Toninho,Apartamento,28,0,1,1,56070
Parque Residencial Flamboyant,Terreno,0,225,0,0,56193
Parque Residencial Flamboyant,Terreno,0,191,0,0,56297
Vila Nossa Senhora Aparecida,Terreno,0,191,0,0,56440
Vila Machado,Terreno,0,162,0,0,56570
Chácaras Reunidas Igarapés,Apartamento,26,0,1,1,56721
Vila Zilda,Apartamento,26,0,1,1,56877
Vila Formosa,Apartamento,29,0,1,1,56877
Jardim Flórida,Terreno,0,178,0,0,57138
Jardim Silvia,Apartamento,25,0,1,1,57213
Jardim Bela Vista,Terreno,0,222,0,0,57442
Vila Nossa Senhora Aparecida,Terreno,0,246,0,0,57564
Jardim Flórida,Terreno,0,222,0,0,57942
Parque Residencial Flamboyant,Terreno,0,202,0,0,58024
Jardim Santa Maria,Terreno,0,188,0,0,58092
Vila Garcia,Terreno,0,156,0,0,58344
Jardim Santa Maria,Terreno,0,150,0,0,58350
Vila Formosa,Terreno,0,207,0,0,58632
Jardim Paraíba,Terreno,0,165,0,0,58740
Jardim Bela Vista,Terreno,0,218,0,0,58860
Vila Industrial,Terreno,0,161,0,0,58990
Vila Industrial,Terreno,0,211,0,0,59080
Vila Toninho,Terreno,0,466,0,0,59182
Jardim Alvorada,Terreno,0,338,0,0,59319
Jardim das Oliveiras,Terreno,0,159,0,0,59513
Jardim das Indústrias,Terreno,0,160,0,0,59640
Vila Garcia,Terreno,0,234,0,0,59670
Vila Machado,Terreno,0,175,0,0,59692
Jardim Novo Horizonte,Terreno,0,265,0,0,59757
Jardim Flórida,Terreno,0,194,0,0,59800
Vila Industrial,Terreno,0,164,0,0,59827
Vila Machado,Terreno,0,203,0,0,60108
Jardim Panorama,Apartamento,28,0,1,1,60312
Jardim Paraíba,Terreno,0,191,0,0,60356
Vila Nossa Senhora Aparecida,Terreno,0,225,0,0,60412
Jardim das Indústrias,Terreno,0,151,0,0,60588
Vila Formosa,Terreno,0,193,0,0,60611
Parque Residencial Flamboyant,Terreno,0,235,0,0,60630
Vila São Jorge,Terreno,0,183,0,0,60801
Vila Zilda,Terreno,0,209,0,0,60819
Vila Zezinho,Terreno,0,260,0,0,60969
Jardim Paraíba,Terreno,0,178,0,0,61054
Jardim Bela Vista,Terreno,0,161,0,0,61099
Parque Meia Lua,Terreno,0,220,0,0,61248
Parque Residencial Flamboyant,Terreno,0,227,0,0,61460
Parque Residencial Flamboyant,Terreno,0,229,0,0,61486
