bairro,tipo_imovel,area_construida,area_terreno,quartos,banheiros,preco
Vila Elvira,Terreno,0,209,0,0,45000
Jardim Nova Esperança,Terreno,0,159,0,0,45000
Jardim Flórida,Terreno,0,152,0,0,45000
Vila Formosa,Terreno,0,262,0,0,45000
Vila São Paulo,Terreno,0,210,0,0,45000
Jardim Panorama,Terreno,0,150,0,0,45000
Vila Industrial,Terreno,0,167,0,0,45000
Vila Toninho,Terreno,0,215,0,0,45000
Chácaras Reunidas Igarapés,Terreno,0,190,0,0,45000
Vila Toninho,Terreno,0,191,0,0,45000
Parque Residencial Flamboyant,Terreno,0,160,0,0,45000
Vila Formosa,Terreno,0,167,0,0,45000
Vila São Paulo,Terreno,0,161,0,0,45000
Jardim Alvorada,Terreno,0,189,0,0,45000
Jardim das Indústrias,Terreno,0,153,0,0,45000
Parque Residencial Flamboyant,Terreno,0,161,0,0,45000
Jardim Silvia,Terreno,0,164,0,0,45000
Vila São Paulo,Terreno,0,183,0,0,45000
Vila São Jorge,Terreno,0,180,0,0,45000
Vila Toninho,Terreno,0,233,0,0,45000
Jardim Silvia,Terreno,0,253,0,0,45000
Parque Meia Lua,Terreno,0,155,0,0,45000
Jardim Primavera,Terreno,0,150,0,0,45000
Jardim Novo Horizonte,Terreno,0,190,0,0,45039
Vila Formosa,Terreno,0,166,0,0,45558
Jardim Nova Esperança,Terreno,0,228,0,0,45793
Vila Nossa Senhora Aparecida,Terreno,0,174,0,0,46066
Vila Formosa,Terreno,0,160,0,0,46376
Vila São Jorge,Terreno,0,171,0,0,46426
Chácaras Reunidas Igarapés,Terreno,0,172,0,0,46749
Chácaras Reunidas Igarapés,Terreno,0,212,0,0,46936
Jardim Flórida,Terreno,0,187,0,0,47544
Vila São Jorge,Terreno,0,160,0,0,48000
Vila Zezinho,Terreno,0,205,0,0,48359
Jardim Flórida,Terreno,0,152,0,0,48450
Vila Toninho,Terreno,0,184,0,0,49496
Jardim das Oliveiras,Terreno,0,150,0,0,49732
Jardim das Oliveiras,Terreno,0,170,0,0,49742
Vila Toninho,Terreno,0,190,0,0,49970
Jardim Novo Horizonte,Terreno,0,152,0,0,49992
Jardim Novo Horizonte,Terreno,0,227,0,0,50314
Vila Nossa Senhora Aparecida,Terreno,0,187,0,0,50630
Jardim Silvia,Terreno,0,219,0,0,50829
Vila Nossa Senhora Aparecida,Terreno,0,192,0,0,51552
Vila Toninho,Terreno,0,176,0,0,51656
Chácaras Reunidas Igarapés,Terreno,0,275,0,0,51810
Jardim Panorama,Terreno,0,173,0,0,52730
Vila São Jorge,Terreno,0,197,0,0,53485
Jardim das Indústrias,Terreno,0,218,0,0,53628
Vila Elvira,Terreno,0,299,0,0,53775
Vila Garcia,Terreno,0,201,0,0,53817
Parque Meia Lua,Terreno,0,174,0,0,55401
Vila São Paulo,Terreno,0,151,0,0,56043
Vila Elvira,Terreno,0,207,0,0,56128
Jardim Novo Horizonte,Terreno,0,253,0,0,56773
Jardim das Indústrias,Terreno,0,170,0,0,56865
Vila São Paulo,Terreno,0,190,0,0,57304
Vila Toninho,Terreno,0,351,0,0,57564
Parque Residencial Flamboyant,Terreno,0,165,0,0,57915
Jardim Novo Horizonte,Terreno,0,248,0,0,58242
Vila São Jorge,Terreno,0,217,0,0,58264
Parque Residencial Flamboyant,Terreno,0,162,0,0,58441
Parque Novo Mundo,Terreno,0,203,0,0,58464
Vila Nossa Senhora Aparecida,Terreno,0,246,0,0,58671
Jardim Primavera,Terreno,0,172,0,0,58978
Jardim das Indústrias,Terreno,0,189,0,0,59251
Jardim das Indústrias,Terreno,0,213,0,0,59267
Jardim Novo Horizonte,Apartamento,25,0,1,1,59386
Vila São Paulo,Terreno,0,201,0,0,59445
Jardim das Indústrias,Terreno,0,216,0,0,59454
Jardim das Indústrias,Terreno,0,208,0,0,59592
Vila São Paulo,Terreno,0,269,0,0,59798
Vila Industrial,Terreno,0,236,0,0,59849
Jardim Alvorada,Terreno,0,257,0,0,59970
Vila Zezinho,Terreno,0,274,0,0,60033
Jardim Panorama,Terreno,0,203,0,0,60047
Jardim Bela Vista,Terreno,0,167,0,0,60120
Vila São Jorge,Terreno,0,254,0,0,60198
Jardim Panorama,Terreno,0,279,0,0,60264
Vila Toninho,Terreno,0,294,0,0,60417
Parque Residencial Flamboyant,Terreno,0,173,0,0,60463
Jardim Novo Horizonte,Terreno,0,246,0,0,60885
Vila Industrial,Terreno,0,169,0,0,60975
Jardim Bela Vista,Terreno,0,213,0,0,61024
Chácaras Reunidas Igarapés,Terreno,0,280,0,0,61320
Jardim das Indústrias,Terreno,0,209,0,0,61446
Parque Residencial Flamboyant,Terreno,0,197,0,0,61464
Vila Nossa Senhora Aparecida,Terreno,0,228,0,0,61560
Parque Meia Lua,Terreno,0,242,0,0,61564
Vila Nossa Senhora Aparecida,Terreno,0,220,0,0,61710
Chácaras Reunidas Igarapés,Apartamento,29,0,1,1,61787
Vila São Jorge,Terreno,0,207,0,0,61789
Vila Elvira,Terreno,0,249,0,0,62038
Vila São Jorge,Terreno,0,171,0,0,62073
Jardim Bela Vista,Terreno,0,220,0,0,62205
Jardim Bela Vista,Terreno,0,247,0,0,62614
Vila Garcia,Terreno,0,208,0,0,62940
Jardim Bela Vista,Terreno,0,210,0,0,63000
Vila Toninho,Apartamento,26,0,1,1,63154
Parque Residencial Flamboyant,Terreno,0,260,0,0,63180
Jardim Primavera,Terreno,0,197,0,0,63473
Vila Garcia,Terreno,0,207,0,0,63517
Vila Santa Isabel,Terreno,0,163,0,0,63667
Vila São Jorge,Terreno,0,212,0,0,64077
Jardim Alvorada,Terreno,0,232,0,0,64090
Jardim Panorama,Terreno,0,314,0,0,64244
Jardim das Indústrias,Terreno,0,254,0,0,64389
Jardim Panorama,Terreno,0,278,0,0,64551
Vila Nossa Senhora Aparecida,Terreno,0,208,0,0,64584
Vila Formosa,Terreno,0,229,0,0,64738
Vila Toninho,Terreno,0,283,0,0,64807
Jardim Bela Vista,Terreno,0,235,0,0,64860
Jardim Bela Vista,Terreno,0,173,0,0,64875
Vila Formosa,Apartamento,30,0,1,1,64977
Parque Meia Lua,Terreno,0,165,0,0,65736
Vila Toninho,Terreno,0,487,0,0,65745
Vila Toninho,Apartamento,34,0,1,1,65790
Jardim Bela Vista,Terreno,0,236,0,0,65844
